date,value,,,,,,,
Jul-1969,5.80,,,,,,,
Aug-1969,5.79,,,,,,,
Sep-1969,5.81,,,,,,,
Oct-1969,5.83,,,,,,,
Nov-1969,5.85,,,,,,,
Dec-1969,5.95,,,,,,,
Jan-1970,5.95,,,,,,,
Feb-1970,5.96,,,,,,,
Mar-1970,6.05,,,,,,,
Apr-1970,6.94,,,,,,,
May-1970,6.85,,,,,,,
Jun-1970,6.86,,,,,,,
Jul-1970,6.89,,,,,,,
Aug-1970,6.87,,,,,,,
Sep-1970,6.87,,,,,,,
Oct-1970,6.88,,,,,,,
Nov-1970,6.83,,,,,,,
Dec-1970,6.81,,,,,,,
Jan-1971,6.85,,,,,,,
Feb-1971,6.85,,,,,,,
Mar-1971,6.84,,,,,,,
Apr-1971,6.85,,,,,,,
May-1971,6.82,,,,,,,
Jun-1971,6.83,,,,,,,
Jul-1971,6.81,,,,,,,
Aug-1971,6.82,,,,,,,
Sep-1971,6.78,,,,,,,
Oct-1971,6.58,,,,,,,
Nov-1971,6.38,,,,,,,
Dec-1971,6.15,,,,,,,
Jan-1972,6.14,,,,,,,
Feb-1972,5.84,,,,,,,
Mar-1972,5.84,,,,,,,
Apr-1972,5.85,,,,,,,
May-1972,5.85,,,,,,,
Jun-1972,5.85,,,,,,,
Jul-1972,5.80,,,,,,,
Aug-1972,5.75,,,,,,,
Sep-1972,5.75,,,,,,,
Oct-1972,5.77,,,,,,,
Nov-1972,5.76,,,,,,,
Dec-1972,5.78,,,,,,,
Jan-1973,5.69,,,,,,,
Feb-1973,5.76,,,,,,,
Mar-1973,5.80,,,,,,,
Apr-1973,6.12,,,,,,,
May-1973,6.20,,,,,,,
Jun-1973,6.72,,,,,,,
Jul-1973,6.74,,,,,,,
Aug-1973,6.73,,,,,,,
Sep-1973,8.38,,,,,,,
Oct-1973,8.35,,,,,,,
Nov-1973,8.35,,,,,,,
Dec-1973,8.36,,,,,,,
Jan-1974,8.36,,,,,,,
Feb-1974,8.36,,,,,,,
Mar-1974,8.37,,,,,,,
Apr-1974,8.38,,,,,,,
May-1974,8.45,,,,,,,
Jun-1974,9.52,,,,,,,
Jul-1974,9.50,,,,,,,
Aug-1974,9.50,,,,,,,
Sep-1974,9.50,,,,,,,
Oct-1974,9.50,,,,,,,
Nov-1974,9.50,,,,,,,
Dec-1974,9.50,,,,,,,
Jan-1975,9.40,,,,,,,
Feb-1975,9.50,,,,,,,
Mar-1975,9.50,,,,,,,
Apr-1975,9.50,,,,,,,
May-1975,9.50,,,,,,,
Jun-1975,9.50,,,,,,,
Jul-1975,10.00,,,,,,,
Aug-1975,10.00,,,,,,,
Sep-1975,10.00,,,,,,,
Oct-1975,10.00,,,,,,,
Nov-1975,10.00,,,,,,,
Dec-1975,10.00,,,,,,,
Jan-1976,10.02,,,,,,,
Feb-1976,10.00,,,,,,,
Mar-1976,9.99,,,,,,,
Apr-1976,10.00,,,,,,,
May-1976,10.00,,,,,,,
Jun-1976,9.99,,,,,,,
Jul-1976,10.00,,,,,,,
Aug-1976,9.99,,,,,,,
Sep-1976,9.99,,,,,,,
Oct-1976,9.98,,,,,,,
Nov-1976,10.00,,,,,,,
Dec-1976,10.41,,,,,,,
Jan-1977,10.40,,,,,,,
Feb-1977,10.40,,,,,,,
Mar-1977,10.40,,,,,,,
Apr-1977,10.40,,,,,,,
May-1977,10.41,,,,,,,
Jun-1977,10.41,,,,,,,
Jul-1977,10.41,,,,,,,
Aug-1977,10.41,,,,,,,
Sep-1977,10.18,,,,,,,
