Net Income (Continuing Operations),Market Cap,Shares Outstanding (EOP),Beta,PE Ratio,Total Equity,Market Return,risk_free_values,RRR,Actual_return_equity,GWF,Notional Goodwill,Notional Equity Value,difference,Month End Stock Price,Notional Stock Price,Advali_Valuation
1398153000.0,14626764000.0,3105470000.0,1.1,10.4,6811961000.0,0.085,0.1207,0.2142,0.20524970709609172,4.6685340802987865,-284636070.02801096,6527324929.971989,-8099439070.028011,4.71,2.101879886127378,1.24%
515970000.0,17889417000.0,3276450000.0,1.03,26.65,8416925999.999999,0.085,0.0939,0.18145,0.06130147752279158,5.511160099200882,-5573332723.61532,2843593276.384679,-15045823723.615322,5.46,0.8678885001708186,5.29%
1173420000.0,18267773000.0,3401820000.0,1.14,12.11,11045603000.0,0.085,0.0894,0.1863,0.10623412773390462,5.367686527106817,-4747052275.362318,6298550724.637682,-11969222275.362318,5.37,1.8515238092073307,1.90%
1307531000.0,24144162000.0,3494090000.0,1.3,14.56,13160101000.0,0.085,0.0668,0.1773,0.09935569643424469,5.640157924421883,-5785419668.92273,7374681331.07727,-16769480668.92273,6.91,2.11061573430486,2.27%
1200100000.0,24074999000.0,3275510000.0,1.3,19.55,14614187000.0,0.085,0.1004,0.21090000000000003,0.08211883425331837,4.741583688952109,-8923812414.888573,5690374585.111427,-18384624414.888573,7.35,1.7372484239435775,3.23%
1048175999.9999999,26146466000.0,3330760000.0,1.24,24.85,15779366000.0,0.085,0.0825,0.1879,0.06642700346769317,5.321979776476849,-10200994525.811604,5578371474.188396,-20568094525.811604,7.85,1.6748043912465613,3.69%
403770000.0,26792539000.0,3408720000.0,1.23,69.94,15958590000.0,0.085,0.0732,0.17775000000000002,0.02530110742866381,5.625879043600562,-13687028818.5654,2271561181.434601,-24520977818.5654,7.86,0.6663971172271705,10.79%
-1462032000.0,20047122000.0,3523220000.0,1.0,0.0,12304512000.0,0.085,0.0614,0.1464,-0.11882080329557157,6.830601092896175,-22291069377.049183,-9986557377.049183,-30033679377.049183,5.69,-2.8344972431608535,-3.01%
-2277081000.0,23190762000.0,3601050000.0,1.02,0.0,9221499000.0,0.085,0.0485,0.13520000000000001,-0.24693176239567993,7.396449704142011,-26063814088.757397,-16842315088.757397,-40033077088.7574,6.44,-4.677056716445869,-2.38%
396716000.0,30343750000.0,3695950000.0,1.12,44.81,11045851000.0,0.085,0.0674,0.16260000000000002,0.03591538578602952,6.1500615006150054,-8606023201.72202,2439827798.277981,-27903922201.72202,8.21,0.6601354992026356,11.44%
