,total_equity,net_income,stock_price,market_cap,share_outstanding,pe_ratio,market_return,risk_free_bond_rate,Beta,RRR,Actual_return_equity,Abnormal_Return,GWF,Notional Goodwill,Notional Equity Value,Difference_price,Advali_Notional_Stock_Price,Advali_Valuation_Diff
1990,724830000.0,93143000.0,2.35,423000000.0,180000000.0,0.0,0.065,0.1316,0.76,0.181,0.12850323524136695,-38051229.99999999,5.524861878453039,-210227790.0552486,514602209.9447514,91602209.94475138,2.85890116635973,-0.17800586195419943
1991,763026000.0,-15161000.0,2.8,504000000.0,180000000.0,0.0,0.065,0.1099,1.12,0.1827,-0.019869571941192044,-154565850.2,5.473453749315818,-846009032.293377,-82983032.29337704,-586983032.293377,-0.4610168460743169,-7.0735307697381495
1992,747582000.0,400000.0,2.1,378000000.0,180000000.0,0.0,0.065,0.083,1.16,0.15839999999999999,0.0005350583614907796,-118016988.79999998,6.313131313131314,-745056747.4747474,2525252.5252525806,-375474747.4747474,0.01402918069584767,148.68799999999675
1993,779503000.0,54115000.0,2.75,495000000.0,180000000.0,9.17,0.065,0.0688,0.74,0.1169,0.06942243968272091,-37008900.7,8.55431993156544,-316585976.90333617,462917023.09666383,-32082976.903336167,2.57176123942591,0.06930610736394711
1994,814232000.0,61144000.0,3.45,621000000.0,180000000.0,10.45,0.065,0.0957,0.34,0.11779999999999999,0.07509407638117883,-34772529.59999999,8.488964346349746,-295182764.0067911,519049235.9932089,-101950764.00679111,2.8836068666289383,0.1964182912468925
1995,791382000.0,42771000.0,5.31,955800000.0,180000000.0,22.13,0.065,0.0908,0.36,0.11420000000000001,0.05404596010523363,-47604824.400000006,8.756567425569177,-416854854.6409808,374527145.3590192,-581272854.6409807,2.080706363105662,1.5520179560917446
1996,0.0,0.0,4.64,835200000.0,180000000.0,0.0,0.065,0.0863,0.57,0.12335,,,8.107012565869477,,,,,
1997,950871000.0,-151912000.0,4.77,1287900000.0,270000000.0,0.0,0.065,0.0664,0.62,0.1067,-0.15976089290766046,-253369935.7,9.37207122774133,-2374601084.348641,-1423730084.348641,-2711630084.348641,-5.2730743864764476,-1.9045956211490864
1998,969387000.0,80205000.0,4.0,1080000000.0,270000000.0,13.79,0.065,0.0552,0.26,0.0721,0.0827378539221178,10312197.30000001,13.869625520110958,143026314.84049946,1112413314.8404994,32413314.8404994,4.1200493142240715,-0.029137834299607257
1999,1016225000.0,103390000.0,2.43,656100000.0,270000000.0,6.39,0.065,0.0614,0.24,0.077,0.1017392801790942,25140675.000000004,12.987012987012987,326502272.72727275,1342727272.7272727,686627272.7272727,4.973063973063973,-0.5113676371022342
2000,1009134000.0,37223000.0,2.1,567000000.0,270000000.0,15.67,0.065,0.0616,0.49,0.09345,0.03688608252224184,-57080572.300000004,10.700909577314071,-610814042.8036383,398319957.19636166,-168680042.80363834,1.4752591007272655,0.42347876313032273
