,total_equity,net_income,stock_price,market_cap,share_outstanding,pe_ratio,market_return,risk_free_bond_rate,Beta,RRR,Actual_return_equity,Abnormal_Return,GWF,Notional Goodwill,Notional Equity Value,Difference_price,Advali_Notional_Stock_Price,Advali_Valuation_Diff
1991,6811961000.0,1398153000.0,4.71,14626764000.0,3105470000.0,10.4,0.065,0.1099,1.1,0.1814,0.20524970709609172,162463274.60000002,5.512679162072767,895607908.489526,7707568908.489526,-6919195091.510474,2.4819331400688225,0.8977142953453591
1992,8416925999.999999,515970000.0,5.46,17889417000.0,3276450000.0,26.65,0.065,0.083,1.03,0.14995000000000003,0.06130147752279158,-746148053.7,6.668889629876625,-4975979017.672557,3440946982.327442,-14448470017.672558,1.0502058576591866,4.198980714285716
1993,11045603000.0,1173420000.0,5.37,18267773000.0,3401820000.0,12.11,0.065,0.0688,1.14,0.1429,0.10623412773390462,-404996668.7,6.997900629811057,-2834126442.96711,8211476557.03289,-10056296442.96711,2.4138480451737276,1.2246636488725264
1994,13160101000.0,1307531000.0,6.91,24144162000.0,3494090000.0,14.56,0.065,0.0957,1.3,0.1802,0.09935569643424469,-1063919200.2,5.549389567147614,-5904102109.877913,7255998890.122087,-16888163109.877914,2.0766491103898543,2.3274759637668248
1995,14614187000.0,1200100000.0,7.35,24074999000.0,3275510000.0,19.55,0.065,0.0908,1.3,0.1753,0.08211883425331837,-1361766981.1000001,5.704506560182544,-7768208677.124929,6845978322.875071,-17229020677.12493,2.0900495870490614,2.516662975627031
1996,15779366000.0,1048175999.9999999,7.85,26146466000.0,3330760000.0,24.85,0.065,0.0863,1.24,0.1669,0.06642700346769317,-1585400185.4,5.991611743559018,-9499102369.083284,6280263630.916716,-19866202369.083282,1.8855347220804608,3.163275228015143
1997,15958590000.0,403770000.0,7.86,26792539000.0,3408720000.0,69.94,0.065,0.0664,1.23,0.14635,0.02530110742866381,-1931769646.5,6.832934745473181,-13199655937.820293,2758934062.1797066,-24033604937.820293,0.8093753849479296,8.711192292443716
1998,12304512000.0,-1462032000.0,5.69,20047122000.0,3523220000.0,0.0,0.065,0.0552,1.0,0.1202,-0.11882080329557157,-2941034342.4,8.319467554076539,-24467839787.02163,-12163327787.02163,-32210449787.02163,-3.4523327487416706,-2.648160943371965
1999,9221499000.0,-2277081000.0,6.44,23190762000.0,3601050000.0,0.0,0.065,0.0614,1.02,0.1277,-0.24693176239567993,-3454666422.3000007,7.830853563038371,-27052986862.176983,-17831487862.176983,-41022249862.17699,-4.951746813339716,-2.300551147455887
2000,11045851000.0,396716000.0,8.21,30343750000.0,3695950000.0,44.81,0.065,0.0616,1.12,0.13440000000000002,0.03591538578602952,-1087846374.4000003,7.44047619047619,-8094095047.619049,2951755952.380951,-27391994047.61905,0.7986460726960459,9.279897792879547
2001,22631320000.0,884398000.0,9.08,33634680999.999996,3704260000.0,19.59,0.065,0.0609,1.3,0.1454,0.03907849829351536,-2406195928.0,6.87757909215956,-16548802806.052269,6082517193.947731,-27552163806.052265,1.6420330090079345,4.529730492741955
2002,30778880000.0,2731520000.0,9.0,54396360000.0,6044040000.0,24.35,0.065,0.0586,1.24,0.1392,0.08874656907593778,-1552900095.9999998,7.183908045977012,-11155891494.252872,19622988505.747128,-34773371494.25287,3.2466675445144517,1.7720731724461105
