,total_equity,net_income,stock_price,market_cap,share_outstanding,pe_ratio,market_return,risk_free_bond_rate,Beta,RRR,Actual_return_equity,Abnormal_Return,GWF,Notional Goodwill,Notional Equity Value,Difference_price,Advali_Notional_Stock_Price,Advali_Valuation_Diff
1992,745500000.0,83800000.0,0.0,0.0,1000000000.0,0.0,0.065,0.083,0.0,0.083,0.11240778001341381,21923499.999999993,12.048192771084336,264138554.21686736,1009638554.2168673,1009638554.2168673,1.0096385542168673,-1.0
1993,618700000.0,171200000.0,0.0,0.0,1000000000.0,0.0,0.065,0.0688,0.0,0.0688,0.2767092290286084,128633440.00000001,14.534883720930232,1869672093.0232558,2488372093.023256,2488372093.023256,2.488372093023256,-1.0
1994,770500000.0,200300000.0,2.86,2932472000.0,1025339999.9999999,14.47,0.065,0.0957,0.0,0.0957,0.2599610642439974,126563149.99999999,10.449320794148381,1322498955.0679204,2092998955.0679204,-839473044.9320796,2.0412730948445597,0.4010864137793308
1995,958500000.0,233800000.0,2.89,3049933000.0,1055339999.9999999,12.84,0.065,0.0908,0.0,0.0908,0.2439227960354721,146768199.99999997,11.013215859030836,1616389867.8414092,2574889867.841409,-475043132.1585908,2.439867595127077,0.18449050504704895
1996,1135800000.0,233900000.0,3.04,3324453000.0,1093570000.0,13.93,0.065,0.0863,0.84,0.1409,0.20593414333509422,73865780.00000001,7.097232079488999,524242583.39247704,1660042583.392477,-1664410416.607523,1.5180030390304022,1.0026310368533562
1997,1225700000.0,258300000.0,4.31,4842457000.0,1123540000.0,18.53,0.065,0.0664,0.87,0.12295,0.2107367218732153,107600184.99999999,8.13338755591704,875154005.6933712,2100854005.6933713,-2741602994.3066287,1.8698524357774278,1.3049947244676732
1998,1372600000.0,279600000.0,5.2,5927948000.0,1139990000.0,21.08,0.065,0.0552,0.7,0.1007,0.20370100539122832,141379180.0,9.9304865938431,1403964051.6385305,2776564051.6385307,-3151383948.3614693,2.435603866383504,1.1349941473533616
1999,1484600000.0,257300000.0,4.97,5729565000.0,1152830000.0,22.17,0.065,0.0614,0.32,0.08220000000000001,0.1733126768153038,135265880.0,12.1654501216545,1645570316.301703,3130170316.301703,-2599394683.698297,2.715205465074385,0.8304323794014769
2000,1630900000.0,321700000.0,6.1,6465939000.0,1059990000.0,23.22,0.065,0.0616,0.22,0.0759,0.19725305046293456,197914690.0,13.175230566534916,2607571673.2542825,4238471673.2542825,-2227467326.7457175,3.9985959049182376,0.5255354992228781
2001,1525600000.0,476100000.0,10.89,11276159000.0,1035460000.0,27.12,0.065,0.0609,-0.03,0.05895,0.31207393812270584,386165880.0,16.963528413910094,6550735877.862596,8076335877.862596,-3199823122.1374044,7.799756511948888,0.3961974304347826
